iter	Passed	Remaining
0	4	437
1	7	376
2	11	378
3	15	375
4	20	383
5	23	375
6	28	383
7	33	383
8	36	372
9	40	360
10	44	358
11	47	348
12	50	335
13	53	329
14	57	327
15	61	321
16	65	318
17	68	310
18	70	298
19	72	290
20	75	282
21	78	277
22	80	270
23	84	266
24	87	262
25	90	257
26	93	253
27	96	247
28	98	241
29	101	236
30	104	233
31	109	231
32	112	229
33	116	226
34	120	222
35	124	221
36	128	218
37	132	216
38	135	212
39	137	206
40	140	202
41	143	198
42	145	192
43	147	188
44	150	184
45	153	180
46	155	175
47	157	170
48	160	166
49	162	162
50	165	158
51	169	156
52	173	153
53	175	149
54	178	145
55	180	141
56	183	138
57	185	134
58	188	130
59	190	127
60	192	123
61	195	119
62	197	116
63	200	112
64	202	109
65	204	105
66	207	102
67	210	99
68	212	95
69	215	92
70	218	89
71	220	85
72	222	82
73	225	79
74	227	75
75	229	72
76	233	69
77	237	67
78	242	64
79	245	61
80	248	58
81	251	55
82	254	52
83	258	49
84	261	46
85	265	43
86	268	40
87	272	37
88	276	34
89	278	30
90	283	27
91	287	24
92	290	21
93	294	18
94	298	15
95	301	12
96	304	9
97	307	6
98	311	3
99	314	0
